city,year,weekofyear,total_cases
sj,2010,26,42
sj,2010,27,45
sj,2010,28,63
sj,2010,29,67
sj,2010,30,48
sj,2010,31,61
sj,2010,32,91
sj,2010,33,78
sj,2010,34,112
sj,2010,35,119
sj,2010,36,108
sj,2010,37,106
sj,2010,38,98
sj,2010,39,109
sj,2010,40,118
sj,2010,41,116
sj,2010,42,68
sj,2010,43,64
sj,2010,44,51
sj,2010,45,71
sj,2010,46,38
sj,2010,47,29
sj,2010,48,24
sj,2010,49,29
sj,2010,50,53
sj,2010,51,53
sj,2011,52,41
sj,2011,1,32
sj,2011,2,57
sj,2011,3,48
sj,2011,4,32
sj,2011,5,25
sj,2011,6,22
sj,2011,7,23
sj,2011,8,30
sj,2011,9,14
sj,2011,10,12
sj,2011,11,9
sj,2011,12,16
sj,2011,13,13
sj,2011,14,15
sj,2011,15,14
sj,2011,16,12
sj,2011,17,12
sj,2011,18,16
sj,2011,19,15
sj,2011,20,13
sj,2011,21,18
sj,2011,22,23
sj,2011,23,32
sj,2011,24,35
sj,2011,25,38
sj,2011,26,46
sj,2011,27,27
sj,2011,28,34
sj,2011,29,49
sj,2011,30,57
sj,2011,31,50
sj,2011,32,55
sj,2011,33,84
sj,2011,34,97
sj,2011,35,103
sj,2011,36,109
sj,2011,37,92
sj,2011,38,88
sj,2011,39,91
sj,2011,40,102
sj,2011,41,61
sj,2011,42,76
sj,2011,43,70
sj,2011,44,77
sj,2011,45,66
sj,2011,46,56
sj,2011,47,47
sj,2011,48,40
sj,2011,49,31
sj,2011,50,51
sj,2011,51,38
sj,2012,52,41
sj,2012,1,36
sj,2012,2,48
sj,2012,3,32
sj,2012,4,24
sj,2012,5,21
sj,2012,6,21
sj,2012,7,18
sj,2012,8,18
sj,2012,9,17
sj,2012,10,23
sj,2012,11,15
sj,2012,12,12
sj,2012,13,17
sj,2012,14,11
sj,2012,15,13
sj,2012,16,12
sj,2012,17,13
sj,2012,18,11
sj,2012,19,13
sj,2012,20,25
sj,2012,21,10
sj,2012,22,12
sj,2012,23,37
sj,2012,24,23
sj,2012,25,39
sj,2012,26,50
sj,2012,27,23
sj,2012,28,26
sj,2012,29,50
sj,2012,30,47
sj,2012,31,53
sj,2012,32,50
sj,2012,33,103
sj,2012,34,92
sj,2012,35,73
sj,2012,36,75
sj,2012,37,70
sj,2012,38,72
sj,2012,39,95
sj,2012,40,117
sj,2012,41,54
sj,2012,42,109
sj,2012,43,87
sj,2012,44,82
sj,2012,45,67
sj,2012,46,81
sj,2012,47,368
sj,2012,48,79
sj,2012,49,103
sj,2012,50,84
sj,2012,51,55
sj,2013,1,47
sj,2013,2,34
sj,2013,3,27
sj,2013,4,22
sj,2013,5,28
sj,2013,6,20
sj,2013,7,23
sj,2013,8,16
sj,2013,9,14
sj,2013,10,27
sj,2013,11,14
sj,2013,12,10
sj,2013,13,20
sj,2013,14,8
sj,2013,15,9
sj,2013,16,17
sj,2013,17,11
iq,2010,26,10
iq,2010,27,3
iq,2010,28,13
iq,2010,29,3
iq,2010,30,3
iq,2010,31,8
iq,2010,32,3
iq,2010,33,6
iq,2010,34,8
iq,2010,35,10
iq,2010,36,13
iq,2010,37,4
iq,2010,38,10
iq,2010,39,5
iq,2010,40,5
iq,2010,41,10
iq,2010,42,6
iq,2010,43,7
iq,2010,44,26
iq,2010,45,8
iq,2010,46,8
iq,2010,47,8
iq,2010,48,8
iq,2010,49,10
iq,2010,50,10
iq,2010,51,8
iq,2011,52,24
iq,2011,1,18
iq,2011,2,12
iq,2011,3,15
iq,2011,4,16
iq,2011,5,11
iq,2011,6,14
iq,2011,7,14
iq,2011,8,15
iq,2011,9,11
iq,2011,10,14
iq,2011,11,11
iq,2011,12,9
iq,2011,13,12
iq,2011,14,13
iq,2011,15,11
iq,2011,16,11
iq,2011,17,14
iq,2011,18,12
iq,2011,19,3
iq,2011,20,7
iq,2011,21,19
iq,2011,22,16
iq,2011,23,9
iq,2011,24,14
iq,2011,25,12
iq,2011,26,11
iq,2011,27,7
iq,2011,28,7
iq,2011,29,5
iq,2011,30,3
iq,2011,31,4
iq,2011,32,3
iq,2011,33,3
iq,2011,34,6
iq,2011,35,4
iq,2011,36,4
iq,2011,37,6
iq,2011,38,4
iq,2011,39,11
iq,2011,40,11
iq,2011,41,11
iq,2011,42,8
iq,2011,43,10
iq,2011,44,10
iq,2011,45,14
iq,2011,46,9
iq,2011,47,8
iq,2011,48,9
iq,2011,49,12
iq,2011,50,18
iq,2011,51,20
iq,2012,52,11
iq,2012,1,18
iq,2012,2,13
iq,2012,3,13
iq,2012,4,11
iq,2012,5,16
iq,2012,6,14
iq,2012,7,12
iq,2012,8,13
iq,2012,9,11
iq,2012,10,12
iq,2012,11,9
iq,2012,12,5
iq,2012,13,12
iq,2012,14,7
iq,2012,15,13
iq,2012,16,16
iq,2012,17,9
iq,2012,18,11
iq,2012,19,3
iq,2012,20,10
iq,2012,21,3
iq,2012,22,5
iq,2012,23,5
iq,2012,24,4
iq,2012,25,4
iq,2012,26,6
iq,2012,27,3
iq,2012,28,4
iq,2012,29,4
iq,2012,30,3
iq,2012,31,2
iq,2012,32,4
iq,2012,33,7
iq,2012,34,4
iq,2012,35,5
iq,2012,36,5
iq,2012,37,4
iq,2012,38,3
iq,2012,39,3
iq,2012,40,3
iq,2012,41,11
iq,2012,42,10
iq,2012,43,8
iq,2012,44,9
iq,2012,45,8
iq,2012,46,7
iq,2012,47,13
iq,2012,48,9
iq,2012,49,12
iq,2012,50,6
iq,2012,51,12
iq,2013,1,11
iq,2013,2,10
iq,2013,3,10
iq,2013,4,14
iq,2013,5,10
iq,2013,6,12
iq,2013,7,13
iq,2013,8,10
iq,2013,9,10
iq,2013,10,14
iq,2013,11,11
iq,2013,12,11
iq,2013,13,12
iq,2013,14,11
iq,2013,15,12
iq,2013,16,9
iq,2013,17,15
iq,2013,18,6
iq,2013,19,12
iq,2013,20,11
iq,2013,21,14
iq,2013,22,8
iq,2013,23,12
iq,2013,24,5
iq,2013,25,6
iq,2013,26,4
