city,year,weekofyear,total_cases
iq,2012,24,-14
iq,2012,25,-35
iq,2012,26,-11
iq,2012,27,-21
iq,2012,28,8
iq,2012,29,-6
iq,2012,30,-35
iq,2012,31,7
iq,2012,32,-10
iq,2012,33,3
iq,2012,34,-26
iq,2012,35,15
iq,2012,36,5
iq,2012,37,-6
iq,2012,38,-40
iq,2012,39,-8
iq,2012,40,25
iq,2012,41,16
iq,2012,42,2
iq,2012,43,23
iq,2012,44,-3
iq,2012,45,-3
iq,2012,46,20
iq,2012,47,4
iq,2012,48,-12
iq,2012,49,-3
iq,2012,50,5
iq,2012,51,12
iq,2013,1,-22
iq,2013,2,-8
iq,2013,3,-13
iq,2013,4,-6
iq,2013,5,-31
iq,2013,6,-40
iq,2013,7,-43
iq,2013,8,-15
iq,2013,9,-29
iq,2013,10,-16
iq,2013,11,-12
iq,2013,12,-9
iq,2013,13,-19
iq,2013,14,-25
iq,2013,15,-15
iq,2013,16,8
iq,2013,17,-22
iq,2013,18,-43
iq,2013,19,-29
iq,2013,20,-16
iq,2013,21,-3
iq,2013,22,-26
iq,2013,23,-20
iq,2013,24,-9
iq,2013,25,-46
iq,2013,26,-40
