web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1679869969-2517","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","07:30","Mayormente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679869969-2518","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","08:00","Mayormente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679869969-2519","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","08:30","Mayormente cubierto","20°","24 km/h","73%","1021 hPa",""
"1679869969-2520","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","09:00","Mayormente cubierto","20°","30 km/h","73%","1021 hPa",""
"1679869969-2521","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","09:30","Mayormente cubierto","21°","33 km/h","69%","1022 hPa",""
"1679869969-2522","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","10:00","Mayormente cubierto","21°","33 km/h","69%","1022 hPa",""
"1679869969-2523","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","10:30","Mayormente cubierto","22°","33 km/h","64%","1022 hPa",""
"1679869969-2524","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","11:00","Mayormente cubierto","22°","35 km/h","64%","1023 hPa",""
"1679869969-2525","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","11:30","Mayormente cubierto","22°","35 km/h","64%","1022 hPa",""
"1679869969-2526","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","12:00","Mayormente cubierto","23°","35 km/h","61%","1022 hPa",""
"1679869969-2527","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","12:30","Mayormente cubierto","22°","35 km/h","64%","1022 hPa",""
"1679869969-2528","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","13:00","Parcialmente cubierto","22°","33 km/h","64%","1021 hPa",""
"1679869969-2529","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","13:30","Nubes dispersas","22°","37 km/h","64%","1021 hPa",""
"1679869969-2530","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","14:00","Nubes dispersas","23°","37 km/h","65%","1020 hPa",""
"1679869969-2531","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","14:30","Nubes dispersas","22°","33 km/h","64%","1020 hPa",""
"1679869969-2532","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","15:00","Nubes dispersas","22°","35 km/h","69%","1020 hPa",""
"1679869969-2533","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","15:30","Nubes dispersas","22°","39 km/h","69%","1020 hPa",""
"1679869969-2534","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","16:00","Nubes dispersas","22°","37 km/h","64%","1020 hPa",""
"1679869969-2535","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","16:30","Parcialmente cubierto","22°","39 km/h","60%","1020 hPa",""
"1679869969-2536","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","17:00","Nubes dispersas","22°","35 km/h","64%","1020 hPa",""
"1679869969-2537","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","17:30","Nubes dispersas","21°","37 km/h","69%","1020 hPa",""
"1679869969-2538","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","18:00","Nubes dispersas","20°","32 km/h","68%","1020 hPa",""
"1679869969-2539","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","18:30","Nubes dispersas","20°","32 km/h","68%","1020 hPa",""
"1679869969-2540","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","19:00","Nubes dispersas","20°","28 km/h","68%","1020 hPa",""
"1679869969-2541","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","19:30","Nubes dispersas","20°","28 km/h","68%","1020 hPa",""
"1679869969-2542","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","20:00","Nubes dispersas","20°","22 km/h","68%","1020 hPa",""
"1679869969-2543","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","20:30","Nubes dispersas","20°","22 km/h","64%","1020 hPa",""
"1679869969-2544","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","21:00","Nubes dispersas","19°","19 km/h","68%","1020 hPa",""
"1679869969-2545","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","21:30","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679869969-2546","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","22:00","Nubes dispersas","19°","19 km/h","64%","1020 hPa",""
"1679869969-2547","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","22:30","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679869969-2548","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","23:00","Nubes dispersas","19°","17 km/h","68%","1020 hPa",""
"1679869969-2549","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","23:30","Nubes dispersas","18°","19 km/h","73%","1020 hPa",""
"1679869972-2550","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","00:00","Nubes dispersas","19°","19 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2551","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2552","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","00:30","Nubes dispersas","19°","24 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2553","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","01:00","Parcialmente cubierto","19°","19 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2554","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","01:30","Nubes dispersas","19°","17 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2555","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","02:00","Nubes dispersas","20°","20 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2556","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","02:30","Nubes dispersas","20°","22 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2557","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","03:00","Nubes dispersas","20°","26 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2558","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","03:30","Nubes dispersas","20°","26 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2559","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","04:00","Parcialmente cubierto","19°","22 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2560","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","04:30","Parcialmente cubierto","19°","24 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2561","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","05:00","Parcialmente cubierto","19°","28 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2562","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","05:30","Parcialmente cubierto","19°","24 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2563","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","06:00","Parcialmente cubierto","19°","19 km/h","73%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2564","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","06:30","Nubes dispersas","18°","15 km/h","77%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2565","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","07:00","Parcialmente cubierto","19°","22 km/h","68%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2566","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","07:30","Nubes dispersas","19°","17 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2567","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","08:00","Parcialmente cubierto","19°","20 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2568","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","08:30","Mayormente cubierto","20°","20 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2569","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","09:00","Mayormente cubierto","20°","22 km/h","68%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2570","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","09:30","Mayormente cubierto","20°","26 km/h","73%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2571","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","10:00","Lluvia ligera","18°","32 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2572","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","10:30","Mayormente cubierto","19°","15 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2573","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:00","Mayormente cubierto","21°","26 km/h","69%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2574","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","11:30","Mayormente cubierto","21°","26 > 46 km/h","64%","1018 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2575","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:00","Mayormente cubierto","22°","35 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2576","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","12:30","Parcialmente cubierto","23°","32 km/h","57%","1017 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2577","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:00","Parcialmente cubierto","23°","35 km/h","53%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2578","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","13:30","Nubes dispersas","23°","37 km/h","50%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2579","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:00","Nubes dispersas","22°","37 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2580","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","14:30","Parcialmente cubierto","22°","35 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2581","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:00","Parcialmente cubierto","22°","28 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2582","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","15:30","Parcialmente cubierto","22°","30 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2583","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:00","Parcialmente cubierto","22°","26 km/h","50%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2584","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","16:30","Parcialmente cubierto","21°","28 km/h","53%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2585","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:00","Parcialmente cubierto","21°","15 km/h","56%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2586","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","17:30","Nubes dispersas","21°","24 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2587","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:00","Nubes dispersas","20°","26 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2588","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","18:30","Parcialmente cubierto","20°","32 km/h","64%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2589","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:00","Parcialmente cubierto","19°","30 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2590","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","19:30","Lluvia ligera","18°","30 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2591","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:00","Parcialmente cubierto","18°","19 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2592","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:30","Lluvia ligera","18°","22 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2593","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","20:40","Lluvia","18°","22 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2594","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:00","Lluvia","17°","15 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2595","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:30","Mayormente cubierto","17°","20 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2596","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","21:45","Lluvia","18°","24 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2597","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:00","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2598","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","22:30","Lluvia","17°","19 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2599","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:00","Mayormente cubierto","18°","15 km/h","83%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869972-2600","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Lunes 2 Diciembre 2019","23:30","Lluvia ligera","18°","20 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2019.html"
"1679869974-2601","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:00","Mayormente cubierto","17°","19 km/h","82%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2602","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2603","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:10","Lluvia","18°","19 km/h","77%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2604","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","00:30","Lluvia","17°","17 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2605","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","01:00","Lluvia ligera","18°","22 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2606","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","01:30","Lluvia ligera","17°","19 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2607","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","02:00","Mayormente cubierto","17°","15 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2608","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","02:30","Mayormente cubierto","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2609","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:00","Mayormente cubierto","18°","15 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2610","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:30","Lluvia ligera","17°","11 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2611","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","03:44","Lluvia","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2612","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","04:00","Llovizna","17°","20 km/h","82%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2613","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","04:30","Llovizna","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2614","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:00","Llovizna","18°","15 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2615","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:30","Mayormente cubierto","18°","11 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2616","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","05:48","Lluvia","18°","11 km/h","68%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2617","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","06:00","Llovizna","17°","13 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2618","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","06:30","Mayormente cubierto","17°","13 km/h","77%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2619","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","07:00","Mayormente cubierto","18°","13 km/h","73%","1015 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2620","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","07:30","Lluvia ligera","18°","11 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2621","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","08:00","Mayormente cubierto","18°","13 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2622","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","08:30","Mayormente cubierto","18°","11 km/h","73%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2623","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","09:00","Mayormente cubierto","19°","19 km/h","64%","1016 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2624","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","09:30","Mayormente cubierto","19°","24 km/h","64%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2625","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","10:00","Mayormente cubierto","19°","20 km/h","60%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2626","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","10:30","Mayormente cubierto","20°","17 km/h","60%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2627","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","11:00","Parcialmente cubierto","21°","30 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
"1679869974-2628","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 3 Diciembre 2019","11:30","Parcialmente cubierto","21°","35 km/h","49%","1017 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2019.html"
